t,r,N_n,N_t,C_h,pH,,,,,
0,0,50006486.02,99987.15769,1.00E-09,7.6,,,,,
0,0.005,50010692.73,99978.82839,1.00E-09,7.6,,,,,
0,0.01,50017626.89,99965.09875,1.00E-09,7.6,,,,,
0,0.015,50029055.19,99942.47073,9.99E-10,7.6,,,,,
0,0.02,50047885.85,99905.18601,9.99E-10,7.6,,,,,
0,0.025,50078901.4,99843.77522,9.98E-10,7.6,,,,,
0,0.03,50129953.39,99742.69229,9.97E-10,7.6,,,,,
0,0.035,50213896.27,99576.48538,9.96E-10,7.6,,,,,
0,0.04,50351679.36,99303.67487,9.93E-10,7.6,,,,,
0,0.045,50577187.62,98857.1685,9.88E-10,7.6,,,,,
0,0.05,50944548.1,98129.79477,9.81E-10,7.6,,,,,
0,0.055,51538442.97,96953.88292,9.69E-10,7.6,,,,,
0,0.06,52486825.58,95076.08536,9.50E-10,7.6,,,,,
0,0.065,53971927.46,92135.58363,9.21E-10,7.6,,,,,
0,0.07,56227667.91,87669.21754,8.75E-10,7.6,,,,,
0,0.075,59500078.3,81189.84496,8.10E-10,7.6,,,,,
0,0.08,63944241.1,72390.40262,7.21E-10,7.6,,,,,
0,0.085,69468038.3,61453.28416,6.11E-10,7.6,,,,,
0,0.09,75624869.82,49262.75775,4.88E-10,7.6,,,,,
0,0.095,81706779.55,37220.57649,3.66E-10,7.6,,,,,
0,0.1,87038744.96,26663.28498,2.59E-10,7.6,,,,,
0,0.105,91245686.59,18333.54055,1.75E-10,7.6,,,,,
0,0.11,94297380.94,12291.18575,1.14E-10,7.6,,,,,
0,0.115,96378675.73,8170.222051,7.24E-11,7.6,,,,,
0,0.12,97739126.33,5476.529875,4.52E-11,7.6,,,,,
0,0.125,98603871.31,3764.334805,2.79E-11,7.6,,,,,
0,0.13,99143798.33,2695.279298,1.71E-11,7.6,,,,,
0,0.135,99477164.69,2035.213917,1.05E-11,7.6,,,,,
0,0.14,99681574.22,1630.483035,6.37E-12,7.6,,,,,
0,0.145,99806379.83,1383.367941,3.87E-12,7.6,,,,,
0,0.15,99882384.22,1232.879242,2.35E-12,7.6,,,,,
0,0.155,99928596.34,1141.379256,1.43E-12,7.6,,,,,
0,0.16,99956667.14,1085.799064,8.67E-13,7.6,,,,,
0,0.165,99973708.33,1052.057515,5.26E-13,7.6,,,,,
0,0.17,99984049.99,1031.581013,3.19E-13,7.6,,,,,
0,0.175,99990324.62,1019.157257,1.94E-13,7.6,,,,,
0,0.18,99994131.14,1011.620349,1.17E-13,7.6,,,,,
0,0.185,99996440.19,1007.048423,7.12E-14,7.6,,,,,
0,0.19,99997840.81,1004.275205,4.32E-14,7.6,,,,,
0,0.195,99998690.36,1002.593087,2.62E-14,7.6,,,,,
0,0.2,99999205.66,1001.572803,1.59E-14,7.6,,,,,
0,0.205,99999518.2,1000.953959,9.64E-15,7.6,,,,,
0,0.21,99999707.77,1000.578608,5.84E-15,7.6,,,,,
0,0.215,99999822.76,1000.350944,3.54E-15,7.6,,,,,
0,0.22,99999892.5,1000.212859,2.15E-15,7.6,,,,,
0,0.225,99999934.8,1000.129105,1.30E-15,7.6,,,,,
0,0.23,99999960.45,1000.078306,7.91E-16,7.6,,,,,
0,0.235,99999976.01,1000.047495,4.80E-16,7.6,,,,,
0,0.24,99999985.45,1000.028807,2.91E-16,7.6,,,,,
0,0.245,99999991.18,1000.017473,1.76E-16,7.6,,,,,
0,0.25,99999994.65,1000.010598,1.07E-16,7.6,,,,,
0,0.255,99999996.75,1000.006428,6.49E-17,7.6,,,,,
0,0.26,99999998.03,1000.003899,3.94E-17,7.6,,,,,
0,0.265,99999998.81,1000.002365,2.39E-17,7.6,,,,,
0,0.27,99999999.28,1000.001434,1.45E-17,7.6,,,,,
0,0.275,99999999.56,1000.00087,8.79E-18,7.6,,,,,
0,0.28,99999999.73,1000.000528,5.33E-18,7.6,,,,,
0,0.285,99999999.84,1000.00032,3.23E-18,7.6,,,,,
0,0.29,99999999.9,1000.000194,1.96E-18,7.6,,,,,
0,0.295,99999999.94,1000.000118,1.19E-18,7.6,,,,,
0,0.3,99999999.96,1000.000071,7.21E-19,7.6,,,,,
0,0.305,99999999.98,1000.000043,4.37E-19,7.6,,,,,
0,0.31,99999999.99,1000.000026,2.65E-19,7.6,,,,,
0,0.315,99999999.99,1000.000016,1.61E-19,7.6,,,,,
0,0.32,100000000,1000.00001,9.76E-20,7.6,,,,,
0,0.325,100000000,1000.000006,5.92E-20,7.6,,,,,
0,0.33,100000000,1000.000004,3.59E-20,7.6,,,,,
0,0.335,100000000,1000.000002,2.18E-20,7.6,,,,,
0,0.34,100000000,1000.000001,1.32E-20,7.6,,,,,
0,0.345,100000000,1000.000001,8.01E-21,7.6,,,,,
0,0.35,100000000,1000,4.86E-21,7.6,,,,,
0,0.355,100000000,1000,2.95E-21,7.6,,,,,
0,0.36,100000000,1000,1.79E-21,7.6,,,,,
0,0.365,100000000,1000,1.08E-21,7.6,,,,,
0,0.37,100000000,1000,6.58E-22,7.6,,,,,
0,0.375,100000000,1000,3.99E-22,7.6,,,,,
0,0.38,100000000,1000,2.42E-22,7.6,,,,,
0,0.385,100000000,1000,1.47E-22,7.6,,,,,
0,0.39,100000000,1000,8.90E-23,7.6,,,,,
0,0.395,100000000,1000,5.40E-23,7.6,,,,,
0,0.4,100000000,1000,3.28E-23,7.6,,,,,
0,0.405,100000000,1000,1.99E-23,7.6,,,,,
0,0.41,100000000,1000,1.20E-23,7.6,,,,,
0,0.415,100000000,1000,7.33E-24,7.6,,,,,
0,0.42,100000000,1000,4.44E-24,7.6,,,,,
0,0.425,100000000,1000,2.66E-24,7.6,,,,,
0,0.43,100000000,1000,1.61E-24,7.6,,,,,
0,0.435,100000000,1000,9.99E-25,7.6,,,,,
0,0.44,100000000,1000,6.11E-25,7.6,,,,,
0,0.445,100000000,1000,3.33E-25,7.6,,,,,
0,0.45,100000000,1000,2.22E-25,7.6,,,,,
0,0.455,100000000,1000,1.11E-25,7.6,,,,,
0,0.46,100000000,1000,5.55E-26,7.6,,,,,
0,0.465,100000000,1000,5.55E-26,7.6,,,,,
0,0.47,100000000,1000,0,7.6,,,,,
0,0.475,100000000,1000,0,7.6,,,,,
